scenario,year,age_class_0,age_class_1,age_class_2,age_class_3,age_class_4,age_class_5_plus,total_fish,adult_fish,larvae
default,1,0,0,0,0,0,0,0,0,0
default,2,250,0,0,0,0,0,250,0,250
default,3,1203,150,0,0,0,0,1353,0,1203
default,4,111,721,104,0,0,0,936,0,111
default,5,0,0,0,0,0,0,0,0,0
default,6,0,0,0,0,0,0,0,0,0
default,7,0,0,0,0,0,0,0,0,0
default,8,761,0,0,0,0,0,761,0,761
default,9,175,456,0,0,0,0,631,0,175
default,10,0,105,319,0,0,0,424,0,0
default,11,0,0,0,0,0,0,0,0,0
default,12,0,0,0,0,0,0,0,0,0
default,13,0,0,0,0,0,0,0,0,0
default,14,491,0,0,0,0,0,491,0,491
default,15,593,294,0,0,0,0,887,0,593
default,16,933,355,205,0,0,0,1493,0,933
default,17,223,559,248,163,0,0,1193,0,223
default,18,0,133,391,198,146,0,868,0,0
default,19,0,0,93,312,178,138,721,138,0
default,20,165,0,0,74,280,293,812,293,165
